Artist ,songs,duration,
Travis scott,melt down,4:06,
,topia twins,3:43,
,FEIN,3:11,
Bruno mars,Locked out of heaven,3:53,
,Apt,2:49,
,Die with a smile,4:11,
Taylor Swift,But daddy I love him,5:40,
,Down bad ,4:21,
,Fort night,3:48,
The weekend,Yong metro,3:35,
,Dancing in the flames,3:40,
,Timeless,4:16,
Billie Eilish,Lunch,2:59,
,Chihiro,5:03,
,Birds of a feather,3:30,
Ed sheeran ,Boat,3:05,
, Curtains,3:44,
,Eyes closed,3:14,
Post malone,Guys for that,2:44,
,Pour me a drink,3:15,
,I had some help,2:58,
,,,
Lady gaga,disease,4:34,
,Die with a smile ,4:11,
,happy mistakes,4:05,
Ariana Grande,We cant be friends,3:48,
,"Yes, And",3:34,
,Supernatural,2:43,
